"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.600853542E0,2.439935207E0,-1.118007898E0,-7.416329384E0
1.610911342E0,2.400845051E0,-1.020878553E0,-7.115211964E0
1.620969308E0,2.165554047E0,-1.058591127E0,-6.412545681E0
1.631027408E0,1.839670658E0,-8.937129378E-1,-6.300968170E0
1.641085574E0,1.441138744E0,-9.100102186E-1,-6.432291985E0
1.651143840E0,1.045052528E0,-1.009664416E0,-6.340277672E0
1.661202140E0,7.846388817E-1,-1.166161537E0,-6.792686462E0
1.671265273E0,5.454049110E-1,-1.405774951E0,-7.413434029E0
1.681328573E0,2.486829758E-1,-1.540841222E0,-7.247045040E0
1.691392139E0,-3.630299568E-1,-1.650390863E0,-6.622536659E0
1.701455805E0,-1.106180191E0,-1.874392748E0,-6.344973564E0
1.711519705E0,-1.844958782E0,-1.931290507E0,-6.181475163E0
1.721583771E0,-2.578820705E0,-1.656182051E0,-6.317082882E0
1.731643171E0,-3.442071676E0,-1.443333507E0,-6.694328785E0
1.741702437E0,-3.946546793E0,-1.529223680E0,-7.202329636E0
1.751761503E0,-4.322093487E0,-1.772793055E0,-7.053368568E0
1.761820536E0,-4.543508530E0,-1.822417974E0,-6.474024773E0
1.771879536E0,-4.840472698E0,-1.636702895E0,-6.774383545E0
1.781938469E0,-5.070553780E0,-1.578223944E0,-7.232319832E0
1.791997235E0,-4.815725327E0,-1.306562901E0,-7.547458649E0
1.802055901E0,-4.176269531E0,-8.839685917E-1,-7.653984070E0
1.812114634E0,-3.539198399E0,-7.472536564E-1,-7.508978367E0
1.822173434E0,-3.097449303E0,-1.008335114E0,-8.015134811E0
1.832232167E0,-2.753513336E0,-1.299092650E0,-8.347979546E0
1.842290700E0,-1.674705505E0,-1.305736423E0,-8.230098724E0
1.852349066E0,-3.333106041E-1,-1.254717231E0,-7.142580509E0
1.862407332E0,7.692499161E-1,-9.827026129E-1,-7.006443977E0
1.872465565E0,2.178618431E0,-9.804012775E-1,-7.233747959E0
1.882523898E0,3.771080017E0,-1.197534323E0,-7.415277481E0
1.892582331E0,5.134877205E0,-1.075046301E0,-7.797275543E0
1.902640697E0,5.679247856E0,-1.193087339E0,-8.228457451E0
1.912700363E0,5.600466728E0,-1.355116248E0,-7.885621548E0
1.922759863E0,4.753626347E0,-1.477035284E0,-6.927074432E0
1.932819229E0,3.438551426E0,-1.245027542E0,-6.845006943E0
1.942878462E0,2.365012646E0,-1.439017653E0,-7.518722534E0
1.952937662E0,1.522657394E0,-1.173531890E0,-7.920817852E0
1.962996795E0,1.025161743E0,-9.418898225E-1,-7.571135521E0
1.973051161E0,9.294338226E-1,-5.592246652E-1,-7.516934395E0
1.983105294E0,1.084726334E0,-3.409086466E-1,-7.985244751E0
1.993159094E0,2.136871338E0,-3.237031698E-1,-8.290041924E0
2.003212760E0,3.871443748E0,-2.003828287E-1,-7.726755142E0
