"Time (s)","w","x","y","z"
1.761820536E0,3.177504016E-1,-3.247140050E-1,-2.004629970E-1,-8.679919839E-1
1.771879536E0,3.163377065E-1,-3.282589912E-1,-2.006410062E-1,-8.671330214E-1
1.781938469E0,3.151156882E-1,-3.313910067E-1,-2.005819976E-1,-8.664000034E-1
1.791997235E0,3.142804779E-1,-3.339399993E-1,-2.004240006E-1,-8.657609820E-1
1.802055901E0,3.131514687E-1,-3.367809951E-1,-2.006970048E-1,-8.650060296E-1
1.812114634E0,3.121331442E-1,-3.401930034E-1,-2.018020004E-1,-8.637809753E-1
1.822173434E0,3.106588470E-1,-3.442290127E-1,-2.035969943E-1,-8.622909784E-1
1.832232167E0,3.089769554E-1,-3.482939899E-1,-2.059569955E-1,-8.607010245E-1
1.842290700E0,3.079334293E-1,-3.520280123E-1,-2.088450044E-1,-8.588579893E-1
1.852349066E0,3.069226040E-1,-3.559699953E-1,-2.118529975E-1,-8.568559885E-1
1.862407332E0,3.058665000E-1,-3.604309857E-1,-2.149080038E-1,-8.546050191E-1
1.872465565E0,3.049863566E-1,-3.653419912E-1,-2.182510048E-1,-8.519830108E-1
1.882523898E0,3.038770427E-1,-3.707740009E-1,-2.216980010E-1,-8.491380215E-1
1.892582331E0,3.027721859E-1,-3.762730062E-1,-2.249220014E-1,-8.462610245E-1
1.902640697E0,3.019284153E-1,-3.816010058E-1,-2.278410047E-1,-8.433910012E-1
1.912700363E0,3.012733235E-1,-3.867740035E-1,-2.304069996E-1,-8.405669928E-1
1.922759863E0,3.007355943E-1,-3.923389912E-1,-2.329999954E-1,-8.374599814E-1
1.932819229E0,3.003004082E-1,-3.972559869E-1,-2.352090031E-1,-8.346760273E-1
1.942878462E0,2.999631827E-1,-4.012719989E-1,-2.368469983E-1,-8.324099779E-1
1.952937662E0,2.995639762E-1,-4.049960077E-1,-2.379930019E-1,-8.304209709E-1
1.962996795E0,2.988906179E-1,-4.088990092E-1,-2.387689948E-1,-8.285260201E-1
1.973051161E0,2.980869847E-1,-4.129509926E-1,-2.393710017E-1,-8.266299963E-1
1.983105294E0,2.971851980E-1,-4.171090126E-1,-2.399120033E-1,-8.247079849E-1
1.993159094E0,2.964786538E-1,-4.213199914E-1,-2.406159937E-1,-8.226140141E-1
2.003212760E0,2.959944218E-1,-4.255169928E-1,-2.414149940E-1,-8.203909993E-1
2.013266060E0,2.956261004E-1,-4.294449985E-1,-2.421420068E-1,-8.182600141E-1
2.023318960E0,2.954705801E-1,-4.319489896E-1,-2.423889935E-1,-8.169239759E-1
2.033371460E0,2.953815779E-1,-4.331080019E-1,-2.422350049E-1,-8.163880110E-1
2.043423993E0,2.952523885E-1,-4.334920049E-1,-2.420829982E-1,-8.162760139E-1
2.053476626E0,2.946633257E-1,-4.334090054E-1,-2.420489937E-1,-8.165429831E-1
2.063529292E0,2.940260401E-1,-4.331229925E-1,-2.421649992E-1,-8.168900013E-1
2.073582058E0,2.935537305E-1,-4.327059984E-1,-2.422789931E-1,-8.172469735E-1
2.083634758E0,2.932218541E-1,-4.323230088E-1,-2.423759997E-1,-8.175399899E-1
2.093687324E0,2.931637707E-1,-4.314140081E-1,-2.421829998E-1,-8.180980086E-1
2.103739857E0,2.933743072E-1,-4.293499887E-1,-2.413859963E-1,-8.193429708E-1
2.113792223E0,2.936606673E-1,-4.265570045E-1,-2.402579933E-1,-8.210290074E-1
2.123844456E0,2.944610522E-1,-4.228020012E-1,-2.390079945E-1,-8.230469823E-1
2.133896622E0,2.954047121E-1,-4.186809957E-1,-2.378890067E-1,-8.251370192E-1
2.143948622E0,2.964632885E-1,-4.141510129E-1,-2.364950031E-1,-8.274409771E-1
2.154005222E0,2.980503006E-1,-4.084460139E-1,-2.347570062E-1,-8.301969767E-1
2.164061755E0,3.003892207E-1,-4.012989998E-1,-2.330269963E-1,-8.333209753E-1
2.174118188E0,3.030612766E-1,-3.925819993E-1,-2.311400026E-1,-8.370230198E-1
2.184174321E0,3.053241573E-1,-3.823960125E-1,-2.279109955E-1,-8.417879939E-1
2.194230254E0,3.065135507E-1,-3.699479997E-1,-2.214740068E-1,-8.486089706E-1
2.204286054E0,3.070558268E-1,-3.565340042E-1,-2.132340074E-1,-8.562309742E-1
2.214340487E0,3.075552612E-1,-3.428350091E-1,-2.043520063E-1,-8.637790084E-1
2.224394853E0,3.086744307E-1,-3.290700018E-1,-1.955630034E-1,-8.707399964E-1
2.234448986E0,3.108524345E-1,-3.162139952E-1,-1.871979982E-1,-8.765479922E-1
2.244502886E0,3.143333090E-1,-3.043099940E-1,-1.789219975E-1,-8.812360168E-1
2.254556819E0,3.182167516E-1,-2.956179976E-1,-1.716360003E-1,-8.842449784E-1
2.264610752E0,3.217844064E-1,-2.915579975E-1,-1.666450053E-1,-8.852559924E-1
2.274664552E0,3.246598766E-1,-2.910999954E-1,-1.646659970E-1,-8.847270012E-1
2.284718318E0,3.267170657E-1,-2.937889993E-1,-1.656139940E-1,-8.829020262E-1
2.294772151E0,3.267993694E-1,-2.998059988E-1,-1.686459929E-1,-8.802710176E-1
2.304825984E0,3.250160614E-1,-3.079110086E-1,-1.733369976E-1,-8.772169948E-1
2.314879817E0,3.215010988E-1,-3.150959909E-1,-1.788450032E-1,-8.748520017E-1
2.324933750E0,3.168266689E-1,-3.188019991E-1,-1.835500002E-1,-8.742399812E-1
2.334987783E0,3.132533851E-1,-3.163540065E-1,-1.851149946E-1,-8.760849833E-1
2.345041683E0,3.116961977E-1,-3.055390120E-1,-1.818650067E-1,-8.811450005E-1
2.355095316E0,3.133384944E-1,-2.845920026E-1,-1.741939932E-1,-8.890910149E-1
2.365148816E0,3.184930403E-1,-2.580690086E-1,-1.650470048E-1,-8.970630169E-1
2.375202249E0,3.244306664E-1,-2.328460068E-1,-1.563999951E-1,-9.033640027E-1
2.385255682E0,3.296189823E-1,-2.127870023E-1,-1.490239948E-1,-9.076700211E-1
2.395313848E0,3.339507718E-1,-1.984889954E-1,-1.437630057E-1,-9.101709723E-1
2.405371981E0,3.367269753E-1,-1.915529966E-1,-1.413490027E-1,-9.110119939E-1
2.415430081E0,3.383567870E-1,-1.919150054E-1,-1.414369941E-1,-9.103180170E-1
2.425488014E0,3.386433639E-1,-1.977439970E-1,-1.431799978E-1,-9.086899757E-1
2.435545880E0,3.375049010E-1,-2.070309967E-1,-1.458009928E-1,-9.066259861E-1
2.445603813E0,3.359066033E-1,-2.179439962E-1,-1.488080025E-1,-9.041699767E-1
2.455657246E0,3.347278517E-1,-2.286719978E-1,-1.519609988E-1,-9.014289975E-1
2.465710712E0,3.338513075E-1,-2.380850017E-1,-1.546040028E-1,-8.988639712E-1
2.475764245E0,3.332825742E-1,-2.459989935E-1,-1.568379998E-1,-8.965539932E-1
2.485817845E0,3.329758544E-1,-2.524240017E-1,-1.586049944E-1,-8.945689797E-1
2.495871511E0,3.332701889E-1,-2.567929924E-1,-1.597210020E-1,-8.930159807E-1
2.505925211E0,3.337057259E-1,-2.596859932E-1,-1.599230021E-1,-8.919799924E-1
2.515978877E0,3.340319464E-1,-2.622529864E-1,-1.600089967E-1,-8.910909891E-1
2.526032577E0,3.345278657E-1,-2.641470134E-1,-1.603270024E-1,-8.902879953E-1
2.536086510E0,3.351285482E-1,-2.643080056E-1,-1.607940048E-1,-8.899300098E-1
2.546140776E0,3.358613472E-1,-2.634370029E-1,-1.619080007E-1,-8.897100091E-1
2.556194976E0,3.366783291E-1,-2.621009946E-1,-1.634110063E-1,-8.895210028E-1
2.566249109E0,3.380392146E-1,-2.595869899E-1,-1.644369960E-1,-8.895530105E-1
2.576303109E0,3.400179945E-1,-2.552999854E-1,-1.645800024E-1,-8.900129795E-1
2.586356942E0,3.425001130E-1,-2.495370060E-1,-1.638119966E-1,-8.908370137E-1
2.596410708E0,3.460355256E-1,-2.426860034E-1,-1.626230031E-1,-8.915809989E-1
2.606464408E0,3.490743146E-1,-2.358909994E-1,-1.613110006E-1,-8.924580216E-1
2.616518108E0,3.514175824E-1,-2.297980040E-1,-1.605439931E-1,-8.932660222E-1
2.626571941E0,3.534327582E-1,-2.249130011E-1,-1.606120020E-1,-8.937019706E-1
2.636630407E0,3.539624368E-1,-2.220139951E-1,-1.615449935E-1,-8.940489888E-1
2.646688873E0,3.538324274E-1,-2.214159966E-1,-1.638839990E-1,-8.938230276E-1
2.656747473E0,3.532838887E-1,-2.232770026E-1,-1.675440073E-1,-8.928980231E-1
2.666806106E0,3.512491506E-1,-2.276789993E-1,-1.716219932E-1,-8.918139935E-1
2.676864706E0,3.483792794E-1,-2.341729999E-1,-1.756239980E-1,-8.904780149E-1
2.686923306E0,3.453774396E-1,-2.420849949E-1,-1.793069988E-1,-8.887959719E-1
2.696977139E0,3.425923470E-1,-2.503120005E-1,-1.824859977E-1,-8.869460225E-1
2.707030839E0,3.403856513E-1,-2.581030130E-1,-1.850470006E-1,-8.850299716E-1
2.717084439E0,3.394696815E-1,-2.644400001E-1,-1.863870025E-1,-8.832280040E-1
2.727138139E0,3.396149223E-1,-2.694709897E-1,-1.870249957E-1,-8.815150261E-1
2.737191872E0,3.400902869E-1,-2.736819983E-1,-1.872940063E-1,-8.799759746E-1
2.747245638E0,3.405750711E-1,-2.774769962E-1,-1.877059937E-1,-8.785110116E-1
2.757299304E0,3.409623275E-1,-2.811839879E-1,-1.883829981E-1,-8.770359755E-1
2.767352970E0,3.410910184E-1,-2.846660018E-1,-1.896750033E-1,-8.755829930E-1
2.777406703E0,3.410018818E-1,-2.876380086E-1,-1.917379946E-1,-8.741959929E-1
2.787460436E0,3.406060509E-1,-2.902890146E-1,-1.944140047E-1,-8.728820086E-1
2.797514069E0,3.400113377E-1,-2.929069996E-1,-1.975110024E-1,-8.715429902E-1
2.807567769E0,3.393485167E-1,-2.954710126E-1,-2.005580068E-1,-8.702390194E-1
2.817621435E0,3.386745923E-1,-2.976970077E-1,-2.033810019E-1,-8.690869808E-1
2.827675101E0,3.380123540E-1,-2.992399931E-1,-2.061289996E-1,-8.681669831E-1
2.837728701E0,3.373185210E-1,-3.008860052E-1,-2.096460015E-1,-8.670250177E-1
2.847782201E0,3.365770181E-1,-3.029429913E-1,-2.141370028E-1,-8.654980063E-1
2.857835734E0,3.354932264E-1,-3.057210147E-1,-2.191469967E-1,-8.636860251E-1
2.867889467E0,3.340083121E-1,-3.091970086E-1,-2.239540070E-1,-8.617889881E-1
2.877948167E0,3.322140114E-1,-3.124400079E-1,-2.280739993E-1,-8.602309823E-1
2.888007200E0,3.296871281E-1,-3.171539903E-1,-2.322120070E-1,-8.583689928E-1
2.898066400E0,3.271247957E-1,-3.212510049E-1,-2.354409993E-1,-8.569449782E-1
2.908125766E0,3.254331798E-1,-3.236309886E-1,-2.377340049E-1,-8.560600281E-1
2.918185266E0,3.249703933E-1,-3.236230016E-1,-2.392410040E-1,-8.558189869E-1
2.928244866E0,3.260746893E-1,-3.200869858E-1,-2.398750037E-1,-8.565509915E-1
2.938299899E0,3.277022864E-1,-3.153559864E-1,-2.405389994E-1,-8.574979901E-1
2.948355132E0,3.288680443E-1,-3.113920093E-1,-2.416239977E-1,-8.581950068E-1
2.958410432E0,3.298156189E-1,-3.083629906E-1,-2.429630011E-1,-8.585469723E-1
2.968465765E0,3.311423401E-1,-3.056580126E-1,-2.439700067E-1,-8.587179780E-1
