"Time (s)","w","x","y","z"
1.453563233E0,2.937403788E-1,2.909844043E-3,-5.860460177E-2,9.540826082E-1
1.463747765E0,2.838040073E-1,1.930740837E-4,-5.938024074E-2,9.570419192E-1
1.473656463E0,2.842941006E-1,-2.411417896E-3,-6.039993092E-2,9.568296075E-1
1.483777921E0,2.846194045E-1,-2.903376007E-3,-6.229010224E-2,9.566103220E-1
1.493692765E0,2.848900049E-1,-1.481015817E-3,-6.475386024E-2,9.563694000E-1
1.503883442E0,2.850045046E-1,1.083946670E-3,-6.747594476E-2,9.561476111E-1
1.513793442E0,2.849006808E-1,3.805536311E-3,-7.016003877E-2,9.559783936E-1
1.523937140E0,2.846906354E-1,5.926098675E-3,-7.254665345E-2,9.558520317E-1
1.533880785E0,2.843356427E-1,7.213564590E-3,-7.443688810E-2,9.558035135E-1
1.544048963E0,2.839089377E-1,7.683571428E-3,-7.579569519E-2,9.558199048E-1
1.553916515E0,2.836273186E-1,7.464885246E-3,-7.665505260E-2,9.558367133E-1
1.564087192E0,2.835734907E-1,6.537089590E-3,-7.716097683E-2,9.558187723E-1
1.573884223E0,2.837888184E-1,4.874906037E-3,-7.741104066E-2,9.557445645E-1
1.584174952E0,2.841957793E-1,2.584275324E-3,-7.757059485E-2,9.556196332E-1
1.593907973E0,2.846435110E-1,-1.421827328E-4,-7.775510103E-2,9.554748535E-1
1.604293910E0,2.851152542E-1,-3.287131432E-3,-7.791996747E-2,9.553151131E-1
1.614072348E0,2.856078595E-1,-6.866434589E-3,-7.800462842E-2,9.551420212E-1
1.624351202E0,2.861438718E-1,-1.081453264E-2,-7.790607214E-2,9.549530745E-1
1.634078338E0,2.867595472E-1,-1.505532581E-2,-7.760186493E-2,9.547356963E-1
1.644410994E0,2.873781205E-1,-1.939237677E-2,-7.711815834E-2,9.545106292E-1
1.654097973E0,2.878553880E-1,-2.370530739E-2,-7.653040439E-2,9.543167353E-1
1.664491358E0,2.880212429E-1,-2.791042626E-2,-7.578607649E-2,9.542123675E-1
1.674463702E0,2.879993365E-1,-3.212207556E-2,-7.480044663E-2,9.541642666E-1
1.684563129E0,2.879314159E-1,-3.625697270E-2,-7.352682948E-2,9.541355968E-1
1.694882608E0,2.879623497E-1,-3.976680711E-2,-7.202837616E-2,9.541007280E-1
1.704670265E0,2.881619881E-1,-4.192298651E-2,-7.063326240E-2,9.540524483E-1
1.714940108E0,2.885420101E-1,-4.166518524E-2,-6.959877908E-2,9.540249109E-1
1.724817348E0,2.891277701E-1,-3.901750594E-2,-6.906817853E-2,9.539980888E-1
1.734935108E0,2.899312450E-1,-3.526521847E-2,-6.896581501E-2,9.539077282E-1
1.744619015E0,2.908464805E-1,-3.142459318E-2,-6.907931715E-2,9.537551403E-1
1.754665056E0,2.917141888E-1,-2.774262801E-2,-6.920911372E-2,9.535949230E-1
1.764886202E0,2.924305004E-1,-2.411298268E-2,-6.916043162E-2,9.534777403E-1
1.774617296E0,2.931654678E-1,-2.073843777E-2,-6.882260740E-2,9.533558488E-1
1.784956410E0,2.940618715E-1,-1.767383143E-2,-6.801269203E-2,9.531996250E-1
1.795542921E0,2.950761647E-1,-1.509056985E-2,-6.662759930E-2,9.530283809E-1
1.805121931E0,2.961357281E-1,-1.346329134E-2,-6.462015957E-2,9.528623223E-1
1.815489067E0,2.971600698E-1,-1.324745454E-2,-6.204214320E-2,9.527177811E-1
1.825112660E0,2.979578274E-1,-1.406744961E-2,-5.934711546E-2,9.526285529E-1
1.835555160E0,2.983014997E-1,-1.498947851E-2,-5.727557093E-2,9.526337385E-1
1.845228702E0,2.981231326E-1,-1.524041686E-2,-5.613590032E-2,9.527534246E-1
1.855730421E0,2.976618385E-1,-1.469644066E-2,-5.577755347E-2,9.529272318E-1
1.865307035E0,2.970857497E-1,-1.365776360E-2,-5.587429553E-2,9.531167746E-1
1.875654275E0,2.964985444E-1,-1.275230758E-2,-5.603560805E-2,9.533026814E-1
1.885270160E0,2.959847717E-1,-1.215557568E-2,-5.593423173E-2,9.534760714E-1
1.895560838E0,2.956044899E-1,-1.154818013E-2,-5.620671809E-2,9.535855651E-1
1.905401515E0,2.955735266E-1,-1.037187502E-2,-5.619341508E-2,9.536094666E-1
1.915684848E0,2.959678528E-1,-8.606081828E-3,-5.544378608E-2,9.535486102E-1
1.925510942E0,2.964278356E-1,-5.340610165E-3,-5.237306282E-2,9.536032081E-1
1.935821827E0,2.968663059E-1,-1.700901659E-3,-4.728909582E-2,9.537459016E-1
1.945612088E0,2.972217724E-1,1.571220811E-3,-4.008812085E-2,9.539652467E-1
1.955495265E0,2.973270683E-1,4.412363283E-3,-3.279259801E-2,9.542021751E-1
1.965666879E0,2.970786140E-1,7.481724489E-3,-3.099736013E-2,9.543204308E-1
1.976261463E0,2.969478403E-1,8.819922805E-3,-3.243410215E-2,9.543019533E-1
1.985762660E0,2.970200762E-1,7.719178684E-3,-3.401904553E-2,9.542338252E-1
1.996653442E0,2.972805108E-1,5.167118274E-3,-3.482766449E-2,9.541407824E-1
2.005932400E0,2.975852077E-1,3.107711906E-3,-3.527254984E-2,9.540383816E-1
2.016677348E0,2.977781907E-1,2.650425537E-3,-3.566353023E-2,9.539650083E-1
2.025901671E0,2.977963047E-1,3.337344853E-3,-3.571445867E-2,9.539552927E-1
2.036379640E0,2.977223573E-1,4.280811176E-3,-3.525299951E-2,9.539917707E-1
2.046044744E0,2.976643162E-1,5.077527836E-3,-3.464004770E-2,9.540284276E-1
2.056731671E0,2.976445407E-1,5.610888824E-3,-3.421619907E-2,9.540469050E-1
2.066099744E0,2.976822467E-1,5.769956857E-3,-3.410751745E-2,9.540380836E-1
2.076292035E0,2.977928675E-1,5.552361719E-3,-3.416325152E-2,9.540028572E-1
2.086216098E0,2.979075312E-1,5.218134727E-3,-3.425472230E-2,9.539656639E-1
2.096777869E0,2.979805034E-1,5.067947786E-3,-3.426669538E-2,9.539432526E-1
