"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.348374050E-1,2.366408706E-1,7.215146422E-1,1.324224472E0
9.398565710E-1,1.019275188E-1,5.245078206E-1,1.364026070E0
9.448757380E-1,-5.804282427E-2,3.840175867E-1,1.345959663E0
9.498949050E-1,-2.433395982E-1,3.572255373E-1,1.260530472E0
9.549140710E-1,-3.982445002E-1,4.107765555E-1,1.167403221E0
9.599332380E-1,-5.268101692E-1,5.070484877E-1,1.060412407E0
9.649524050E-1,-6.649861336E-1,6.261290312E-1,8.371047974E-1
9.699715710E-1,-8.314434290E-1,7.856819630E-1,5.671882629E-1
9.749907380E-1,-7.898426652E-1,8.535645008E-1,3.608226776E-1
9.800098530E-1,-5.806091428E-1,8.842027187E-1,1.978149414E-1
9.850288110E-1,-2.663470507E-1,8.865721226E-1,-2.517805099E-1
9.900477690E-1,1.501941085E-1,8.422528505E-1,-5.662269592E-1
9.950667280E-1,4.277596474E-1,8.565206528E-1,-7.751922607E-1
1.000085686E0,5.248426199E-1,9.134699106E-1,-8.308448792E-1
1.005104644E0,5.924843550E-1,8.629184961E-1,-8.011159897E-1
1.010123603E0,6.379047632E-1,7.316436768E-1,-7.212362289E-1
1.015142561E0,6.353633404E-1,5.558751822E-1,-5.391721725E-1
1.020161519E0,6.011803150E-1,3.966970444E-1,-1.955690384E-1
1.025180478E0,5.831926465E-1,3.483008146E-1,1.867399216E-1
1.030199436E0,6.317177415E-1,4.113544226E-1,4.510507584E-1
1.035218394E0,6.509686112E-1,5.779190063E-1,5.054655075E-1
1.040237353E0,5.338346362E-1,8.843694925E-1,3.963098526E-1
1.045256311E0,2.975389957E-1,1.183197856E0,1.540346146E-1
1.050275269E0,-7.218402624E-2,1.410203457E0,-1.528863907E-1
1.055294228E0,-4.014505148E-1,1.433206439E0,-3.681850433E-1
1.060313186E0,-5.599239469E-1,1.305940032E0,-4.376707077E-1
1.065332144E0,-6.475431919E-1,1.059262156E0,-6.721515656E-1
