"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.100400347E0,-9.417838097E0,9.303779602E-1,-6.011251450E0
1.110521280E0,-9.305011749E0,1.010721326E0,-4.730811119E0
1.120642413E0,-9.060247421E0,1.405461788E0,-3.462681770E0
1.130737079E0,-8.769906044E0,1.578240871E0,-2.538043022E0
1.140832079E0,-8.375361443E0,1.508862734E0,-5.403127670E-1
1.150927245E0,-8.575162888E0,1.579378605E0,1.372913361E0
1.161022578E0,-9.186879158E0,1.553380013E0,2.819015026E0
1.171118011E0,-9.131507874E0,1.888293982E0,3.049001694E0
1.181213444E0,-9.207313538E0,2.021519899E0,3.130123615E0
1.191308844E0,-9.138438225E0,2.337164640E0,2.726329803E0
1.201404210E0,-9.211356163E0,2.250818253E0,2.942522526E0
1.211499743E0,-9.207387924E0,1.495201468E0,3.884374142E0
1.221595276E0,-8.723044395E0,1.332122207E0,4.855379581E0
1.231711576E0,-8.313304901E0,1.510430813E0,5.527762413E0
1.241827976E0,-7.960402012E0,1.684346318E0,6.628391266E0
1.251944609E0,-7.743351460E0,1.775305033E0,7.767387390E0
1.262061275E0,-7.819386959E0,1.402097225E0,9.343802452E0
1.272178075E0,-7.796702385E0,9.540129900E-1,1.065357399E1
1.282294908E0,-7.921816349E0,6.589376330E-1,1.109429359E1
1.292391008E0,-8.404204369E0,5.739395618E-1,1.122715759E1
1.302486874E0,-7.817039490E0,2.841832876E0,1.167314434E1
1.313910333E0,-8.581865311E0,-4.681244493E-2,1.367746544E1
1.323956333E0,-7.004216194E0,3.579037189E0,1.808377266E1
1.334004333E0,-6.431898117E0,4.952431917E-1,1.417908669E1
1.344054333E0,-5.964946270E0,-2.736203432E0,1.615275574E1
1.354104333E0,-2.675710201E0,-1.474678516E-1,2.581325150E1
1.364155083E0,-2.912759304E0,1.907426476E0,1.894978714E1
1.374206483E0,-5.467851162E0,1.039319277E0,1.094381905E1
1.384257983E0,-7.271526337E0,9.499974251E-1,8.578166008E0
1.394309125E0,-8.386205673E0,6.972984076E-1,8.080346107E0
1.404360875E0,-8.003271103E0,3.771127760E-1,8.486481667E0
1.414413208E0,-6.802909374E0,2.546200752E-1,9.965094566E0
1.424465908E0,-6.404397011E0,1.473664492E-1,1.008842754E1
1.434518635E0,-6.877156734E0,8.777268976E-2,9.953225136E0
1.444571385E0,-7.421393394E0,4.404226691E-2,9.392128944E0
1.454624308E0,-8.042377472E0,6.723931432E-2,9.221926689E0
1.464677593E0,-8.589969635E0,5.026593804E-3,9.413696289E0
1.474770393E0,-8.590268135E0,-8.355097473E-2,9.153565407E0
1.484860830E0,-8.705917358E0,-9.955021739E-2,9.188898087E0
1.494949124E0,-9.276731491E0,-9.542173892E-2,8.838766098E0
1.505035401E0,-9.945561409E0,-2.704963088E-2,9.453345299E0
1.515119822E0,-9.981875420E0,-2.830249071E-1,9.707409859E0
1.525202572E0,-9.416360855E0,-5.972568393E-1,9.452415466E0
1.535283905E0,-8.670161247E0,-5.172384977E-1,9.414058685E0
1.545364041E0,-7.774803162E0,6.354045123E-3,9.033874512E0
1.556663333E0,-7.138502121E0,4.538406432E-1,9.639023781E0
1.566718333E0,-7.602182388E0,6.903042793E-1,9.443068504E0
1.576781333E0,-8.456306458E0,5.420116782E-1,9.152703285E0
1.586838833E0,-9.200301170E0,4.265954792E-1,9.371299744E0
1.596894166E0,-9.307327271E0,3.722133040E-1,8.612426758E0
1.606948416E0,-9.368520737E0,3.671790659E-2,9.091202736E0
1.617002816E0,-9.299987793E0,-1.172343343E-1,9.523422241E0
1.627056816E0,-8.834867477E0,-1.772673875E-1,9.126368523E0
1.637109816E0,-9.195732117E0,-2.044771612E-1,9.348308563E0
1.647162441E0,-9.315279007E0,-1.384708881E-1,9.507081032E0
1.657215441E0,-8.527228355E0,-2.680263817E-1,8.973226547E0
1.667268241E0,-8.576898575E0,5.969080329E-2,7.923147202E0
1.677321150E0,-9.088234901E0,2.697468996E-1,9.610401154E0
1.687374066E0,-8.779283524E0,-1.121258736E-2,8.938385010E0
1.697427142E0,-8.292861938E0,1.833931655E-1,7.737583160E0
1.707480142E0,-7.756762505E0,2.628980875E-1,8.764195442E0
1.717573742E0,-7.548525810E0,6.726157665E-1,9.401066780E0
1.727664679E0,-7.732357979E0,1.001053691E0,8.289655685E0
1.737753384E0,-8.337267876E0,1.065052748E0,7.133167267E0
1.747840050E0,-8.610605240E0,1.030829191E0,7.209843636E0
1.757924839E0,-8.646309853E0,7.312999964E-1,8.776169777E0
1.768008089E0,-8.718390465E0,4.060027599E-1,8.897340775E0
1.778089803E0,-8.729563713E0,2.381625772E-1,7.929646492E0
1.788170166E0,-8.946782112E0,1.882315427E-1,6.841722488E0
1.798283383E0,-9.800757408E0,1.421940178E-1,6.952735424E0
1.808393966E0,-1.036216831E1,2.202557474E-1,8.767130852E0
1.818502166E0,-1.070931721E1,4.124804437E-1,8.955217361E0
1.828608127E0,-1.098954391E1,5.917886496E-1,7.716675758E0
1.838711904E0,-1.098673534E1,6.944903135E-1,7.036174774E0
1.848813868E0,-1.085131836E1,7.188274860E-1,6.830101967E0
1.858913971E0,-1.052343273E1,6.520414352E-1,6.850948334E0
1.869012537E0,-1.012247467E1,5.066387057E-1,6.954054832E0
1.879110503E0,-9.716850281E0,4.133096039E-1,7.057956696E0
