"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.749859103E0,-5.415725708E-2,9.447836876E-2,-3.133172989E-1
1.759950629E0,-9.321957827E-2,9.927988052E-2,-1.726121902E-1
1.770040729E0,-8.087664843E-2,1.095564365E-1,5.040454865E-2
1.780129490E0,-8.233845234E-3,1.138806343E-1,3.217678070E-1
1.790216944E0,3.940641880E-2,8.600568771E-2,4.469461441E-1
1.800338596E0,2.829980850E-2,4.054164886E-2,3.536376953E-1
1.810457762E0,-1.965928078E-2,3.198599815E-2,2.284908295E-1
1.820574482E0,-5.232423544E-2,3.583765030E-2,1.288156509E-1
1.830688905E0,-9.039455652E-2,3.629350662E-2,3.607559204E-2
1.840801275E0,-1.138918996E-1,9.268188477E-2,8.017539978E-3
1.850911667E0,-1.047449112E-1,1.943029165E-1,-7.710361481E-2
1.861020218E0,-6.824612617E-2,2.985625267E-1,-1.448345184E-1
1.871127051E0,-5.696457624E-2,2.590334415E-1,-1.186351776E-1
1.881233784E0,-6.223565340E-2,2.044266462E-1,-7.052040100E-2
1.891340550E0,-6.789737940E-2,8.627080917E-2,-2.220153809E-2
1.901447283E0,-5.716383457E-2,-3.819108009E-2,1.669883728E-2
1.911553816E0,-4.187226295E-2,-1.117761135E-1,1.740455627E-2
1.921660249E0,-2.945220470E-2,-1.709957123E-1,-2.262306213E-2
1.931766649E0,-8.476018906E-3,-1.733376980E-1,5.207443237E-2
1.941873115E0,-2.178990841E-2,-1.528842449E-1,6.661987305E-2
1.951979681E0,-2.964222431E-2,-1.144495010E-1,1.957893372E-3
1.962103814E0,-3.852486610E-2,-4.086685181E-2,-5.798435211E-2
1.972227947E0,-4.018616676E-2,-3.274440765E-3,-5.808353424E-2
1.982352147E0,-2.605837584E-2,5.352854729E-2,-1.514434814E-2
1.992476413E0,-1.977944374E-2,9.857082367E-2,1.457214355E-3
2.002600713E0,-2.076989412E-2,1.268672943E-1,5.157279968E-2
2.012724979E0,1.648068428E-4,1.141796112E-1,9.686756134E-2
2.022828545E0,-5.223929882E-3,1.154735088E-1,1.277170181E-1
2.032932178E0,-8.339345455E-3,1.041970253E-1,1.249122620E-1
2.043062678E0,2.762317657E-3,9.728503227E-2,1.028547287E-1
2.053192911E0,-1.647371054E-2,1.383906603E-1,4.018020630E-2
2.063322844E0,-2.324444056E-2,1.151051521E-1,2.787113190E-2
2.073452277E0,-2.759659290E-2,1.257692575E-1,3.959751129E-2
